Z,N,symb,radius, unc, energy, unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quad , unc,Qb-,unc,Qb- n,unc,Qa, unc, Qec, unc,Sn,unc, Sp,unc,Binding/A,unc,atomic mass, unc, mass excess,unc
66,102,Dy,,,0.0,0.0,0+, ,8.7,3,M,522.0,18.0,B-,100.0,0.0, , , , , , , , , , , ,1501.605,143186,-4350.26,140,-1211,173,-5836.566,329,6700.26,152,9922,241,8112.536,833,167937133.716,150305,-58559.566,140009,
66,103,Dy,,,0.0,0.0,(5/2)-, ,39,8,S,39.0,8.0,B-,100.0,0.0, , , , , , , , , , , ,3200,300000,-3607.32,302,-1569,324,-5268.177,423,5108.93,332,10164,423,8094.763,1779,168940313.971,322782,-55597.177,300670,
66,104,Dy,,,0.0,0.0,0+, , , , , , ,B-,100.0,0.0, , , , , , , , , , , ,2575,202,-2938,197,-1559,277,-6939.0,446,6138,359,10624,357,8083,1,169942390,210,-53663,196,
66,105,Dy,,,0.0,0.0, ,GT,160, ,NS,1.6E-7,5.0E15,B-,-1.0,0.0, , , , , , , , , , , ,4330,670,-2022,302,-1801,422,-6157.0,585,4597,357,10754,499,8063,2,170946120,320,-50189,298,
66,106,Dy,,,0.0,0.0,0+,GT,160, ,NS,1.6E-7,5.0E15,B-,-1.0,0.0, , , , , , , , , , , ,3474,357,-1562,670,-2071,499,-8159.0,585,5892,422,11266,585,8050,2,171948460,320,-48009,298,
66,107,Dy,,,0.0,0.0, ,GT,160, ,NS,1.6E-7,5.0E15,B-,-1.0,0.0, , , , , , , , , , , ,5412,499,-526,446,-2211,643,,,4001,499,11377,643,8027,2,172952830,430,-43939,401,
66,108,Dy,,,0.0,0.0,0+,GT,160, ,NS,1.6E-7,5.0E15,B-,-1.0,0.0, , , , , , , , , , , ,4319,585,-91,585,-2416,780,,,5503,643,,,8012,3,173955587,540,-41370,503,
67,101,Ho,,,0.0,0.0,3+, ,2.99,7,M,179.4,4.2,B-,100.0,0.0, , , , , , , , , , , ,2930,30000,-4841.31,30,-408.12,104,-1501.605,143,5851.86,30,7419.52,67,8116.817,179,167935521.676,32229,-60061.171,30023,
67,102,Ho,,,0.0,0.0,7/2-, ,4.72,10,M,283.2,6.0,B-,100.0,0.0, , , , , , , , , , , ,2125.927,20053,-3877.32,20,-656,104,-3200.0,301,6807.32,36,7526.58,141,8109.068,119,168936878.63,21534,-58797.177,20060,
67,103,Ho,,,0.0,0.0,(6+), ,2.76,5,M,165.6,3.0,B-,100.0,0.0, , , , , , , , , , , ,3870,50000,-3386.89,50,-778.81,86,-2575.681,202,5512.82,54,7930.47,305,8093.796,294,169939625.289,53702,-56238.681,50024,
67,104,Ho,,,0.0,0.0,(7/2-), ,53,2,S,53.0,2.0,B-,100.0,0.0, , , , , , , , , , , ,3200,600000,-2481.59,600,-1017,631,-4329.956,670,6351.59,602,8145,631,8083.608,3509,170941471.49,644128,-54518.956,600002,
67,105,Ho,,,0.0,0.0, , ,25,3,S,25.0,3.0,B-,100.0,0.0, , , , , , , , , , , ,5000,196,-1836,196,-1186,357,-3475.0,357,5036,631,8584,357,8066,1,171944730,210,-51484,196,
67,106,Ho,,,0.0,0.0, ,GT,160, ,NS,1.6E-7,5.0E15,B-,-1.0,0.0, , , , , , , , , , , ,4304,357,-938,298,-1447,422,-5412.0,500,5938,357,8630,422,8054,2,172947020,320,-49351,298,
67,107,Ho,,,0.0,0.0, ,GT,160, ,NS,1.6E-7,5.0E15,B-,-1.0,0.0, , , , , , , , , , , ,6260,422,-107,357,-1391,499,-4320.0,585,4411,422,9040,499,8033,2,173950950,320,-45690,298,
67,108,Ho,,,0.0,0.0, ,GT,160, ,NS,1.6E-7,5.0E15,B-,-1.0,0.0,B-N,-1.0,0.0, , , , , , , , ,5449,566,675,499,-1596,643,,,5584,499,9121,643,8019,2,174953620,430,-43203,401,
