Z,N,symb,radius, unc, energy, unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quad , unc,Qb-,unc,Qb- n,unc,Qa, unc, Qec, unc,Sn,unc, Sp,unc,Binding/A,unc,atomic mass, unc, mass excess,unc
3,1,Li,,,0.0,0.0,2-, , , , , , ,P,100.0,0.0, , , , , , ,= 1, , , , ,,,,,,,22898.273,212,11415,2011,-3103.00,212,1153.76,53033,4027185.562,227733,25323.189,212132,
3,2,Li,,,0.0,0.0,3/2-, ,1.23, ,MEV,3.705E-22,0.0,P,-1.0,0.0, , , , , , ,= 1/2, , , , ,-25460,2003,,,1965,50,447.653,54,21715.62,218,-1965.00,50,5266.132,10000,5012537.8,53677,11678.886,50000,
3,3,Li,2.5890,390,0.0,0.0,1+, ,STABLE, , , , , , , , , , , , , ,= 0,0.82205667, ,-0.000818, ,-4288.154,5448,-31123,2003,-1473.76,0,-3505.216,53,5663.32,50,4433.32,20,5332.331,0,6015122.88742,155,14086.87895,144,
3,4,Li,2.4440,420,0.0,0.0,3/2-, ,STABLE, , , , , , , , , , , , , ,= 1/2,3.2564268, ,-0.0406, ,-861.893,71,-11539.24,5,-2467.62,0,-11166.021,8,7251.09,0,9973.96,5,5606.439,1,7016003.43666,454,14907.10529,423,
3,5,Li,2.3390,440,0.0,0.0,2+, ,839.9,9,MS,0.8399,9.0E-4,B-A,100.0,0.0,B-,100.0,0.0, , , ,= 1,1.65356, ,0.0327, ,16004.133,59,-2894.51,9,-6100.24,100,-10663.877,101,2032.62,5,12416.29,8,5159.712,6,8022486.246,50,20945.804,47,
3,6,Li,2.2450,460,0.0,0.0,3/2-, ,178.3,4,MS,0.1783,4.0E-4,B-,100.0,0.0,B-N,50.8,0.2, , , ,= 3/2,3.4391, ,-0.0274, ,13606.449,201,11941.91,19,-10362.46,89,-15980.924,47,4062.22,19,13943.75,21,5037.768,21,9026790.191,200,24954.902,186,
3,7,Li,,,0.0,25.0,(1- 2-), , , , , , ,N,100.0,0.0, , , , , , ,= 2, , , , ,20445.136,12722,13632.85,13,-11248.01,254,-16144.519,94,-26.40,13,15172.17,49,4531.351,1272,10035483.453,13656,33052.624,12721,
3,8,Li,2.4820,429,0.0,0.0,3/2-, ,8.75,14,MS,0.00875,1.4E-4,B-,100.0,0.0,B-N, , , , , ,= 5/2,3.6673, , , ,20551.087,659,20049.45,62,-10832,1004,,,395.69,13,15757.86,93,4155.381,56,11043723.581,660,40728.254,615,
4,1,Be,,,0.0,0.0, , , , , , , ,P,100.0,0.0, , , , , , , , , , , ,,,,,,,25460.114,2004,,,-4527,2014,18,401,5039870,2150,37139,2003,
4,2,Be,,,0.0,0.0,0+, ,92,6,KEV,5.0E-21,3.0E-22,A,100.0,0.0,2P,100.0,0.0, , , ,= 1, , , , ,-28945,2003,,,,,4288.154,5,26835,2003,592.82,50,4487.247,908,6019726.409,5848,18375.033,5448,
4,3,Be,2.6460,160,0.0,0.0,3/2-, ,53.22,6,D,4598208.0,5184.0,EC,100.0,0.0, , , , , , ,= 1/2, , , , ,-11907.551,25150,-39622,2003,-1587.13,7,861.894,71,10677.35,5,5606.85,7,5371.548,10,7016928.717,76,15768.999,71,
4,4,Be,,,0.0,0.0,0+, ,5.57,25,EV,8.18E-17,3.672E-18,A,100.0,0.0, , , , , , ,= 0, , , , ,-17979.896,1000,-30806.20,25,91.84,4,-16004.133,59,18898.64,8,17254.40,4,7062.435,4,8005305.102,37,4941.671,35,
4,5,Be,2.5190,120,0.0,0.0,3/2-, ,STABLE, , , , , , , , , , , , , ,= 1/2,-1.1778, ,0.05288, ,-1068.035,899,-19644.43,100,-2307.7,20,-13606.449,201,1664.54,8,16886.32,9,6462.668,9,9012183.066,82,11348.453,77,
4,6,Be,2.3550,170,0.0,0.0,0+, ,1.51E+6,4,Y,4.7651976E13,1.262304E12,B-,100.0,0.0, , , , , , ,= 1, , , , ,556.878,82,-7880.32,90,-7409.52,10,-20445.136,13,6812.28,5,19636.39,20,6497.63,8,10013534.695,86,12607.488,81,
4,7,Be,2.4630,150,0.0,0.0,1/2+, ,13.76,7,S,13.76,0.07,B-,100.0,0.0,B-A,3.1, ,B-P,8.3E-4, ,= 3/2,-1.6814, , , ,11509.46,238,55.24,24,-8320.87,8,-20551.087,659,501.64,25,20164.43,13,5952.54,22,11021661.081,255,20177.167,238,
4,8,Be,,0,0.0,0.0,0+, ,21.3,1,MS,0.0213,1.0E-4,B-,100.0,0.0,B-N,1.0,0.0, , , ,= 2, , , , ,11708.363,2321,8338.74,191,-8956.84,191,-23931.811,30,3170.72,192,22939.47,200,5720.722,159,12026922.083,2048,25077.760,1909,
4,9,Be,,,0.0,0.0,(1/2-), ,2.7E-21,18,S,2.7E-21,1.8E-21,N,-1.0,0.0, , , , , , , , , , , ,17097.13,10230,12218.36,10,-9701.66,48,-23321.811,71,-510.00,10,22639.47,32,5241.435,783,13036134.507,10929,33659.077,10180,
4,10,Be,,,0.0,0.0, , ,4.35,17,MS,0.00435,1.7E-4,B-,100.0,0.0,B-N,81.0,4.0,B-2N,5.0,2.0, , , , , ,16290.813,133936,15321.23,132,-11667.56,162,,,1775.90,133,24315.36,150,4993.897,9446,14042892.92,141970,39954.498,132245,
4,11,Be,,,0.0,0.0,(5/2+), ,0.58,20,MEV,7.857E-22,2.70927E-22,N,100.0,0.0, , , , , , , , , , , ,20867.573,167126,18090.81,167,,,,,-1800.00,100,,,4540.97,11053,15053490.215,177990,49825.815,165797,
4,12,Be,,,0.0,0.0,0+, ,0.8,2,MEV,5.696E-22,1.4241E-22,N,100.0,0.0, , , , , , , , , , , ,20334.623,167608,20417.57,167,,,,,450.00,141,,,4285.285,10362,16061672.036,177990,57447.132,165797,
5,2,B,,,0.0,0.0,(3/2-), ,801,20,KEV,6.0E-22,0.0,P,100.0,0.0, , , , , , ,= 3/2, , , , ,,,,,-3415,2000,11907.551,25,27715,2003,-2012.55,26,3558.705,3593,7029712,27000,27676.550,25150,
5,3,B,,,0.0,0.0,2+, ,770,3,MS,0.77,0.003,EC+B+,100.0,0.0,B+A,100.0,0.0, , , ,= 1,1.0355, ,0.0683, ,-12142.701,18270,,,-4826.54,212,17979.896,1000,12826.30,25,136.40,100,4717.155,125,8024607.316,1073,22921.567,1000,
5,4,B,,,0.0,0.0,3/2-, ,0.54,21,KEV,8.439E-19,3.28179E-19,P,100.0,0.0, , , , , , ,= 1/2, , , , ,-16494.484,2319,-30719.10,18,-1687.31,50,1068.035,906,18576.40,135,-185.85,90,6257.07,100,9013329.649,969,12416.488,903,
5,5,B,2.4277,499,0.0,0.0,3+, ,STABLE, , , , , , , , , , , , , ,= 0,1.80064478, ,0.08472, ,-3648.062,69,-24931.68,214,-4461.19,1,-556.879,82,8437.20,90,6586.81,8,6475.083,2,10012936.862,16,12050.609,15,
5,6,B,2.4060,294,0.0,0.0,3/2-, ,STABLE, , , , , , , , , , , , , ,= 1/2,2.6886489, ,0.04065, ,-1981.689,61,-15102.28,7,-8664.31,1,-11509.46,23,11454.22,2,11228.75,8,6927.732,1,11009305.166,13,8667.707,12,
5,7,B,,,0.0,0.0,1+, ,20.20,2,MS,0.0202,2.0E-5,B-,100.0,0.0, , , , , , ,= 1,1.00306, ,0.0134, ,13369.397,1321,-5351.32,132,-10001.32,132,-11708.363,2321,3369.63,132,14096.74,134,6631.223,110,12014352.638,1418,13369.397,1321,
5,8,B,,,0.0,0.0,3/2-, ,17.33,17,MS,0.01733,1.7E-4,B-,100.0,0.0,B-N,0.286, , , , ,= 3/2,3.1778, ,0.037, ,13436.938,1000,8490.63,100,-10817.87,102,-17097.13,10,4878.77,166,15804.78,215,6496.419,77,13017779.981,1073,16561.947,1000,
5,9,B,,,0.0,0.0,2-, ,12.5,5,MS,0.0125,5.0E-4,B-,100.0,0.0,B-N,6.1, , , , ,= 2, , , , ,20643.792,21213,12467.36,21,-11813.85,25,-16290.813,134,969.58,21,17284.36,24,6101.644,1515,14025404.012,22773,23663.685,21213,
5,10,B,,,0.0,0.0, , ,9.93,7,MS,0.00993,7.0E-5,B-,100.0,0.0,B-N,99.68, , , , , , , , , ,19085.098,21047,17867.03,21,-14194.93,21,-20867.573,167,2776.76,30,18285.23,134,5879.985,1402,15031087.953,22578,28958.242,21032,
5,11,B,,,0.0,0.0, ,LT,100, ,KEV,4.6E-21, ,N,100.0,0.0, , , , , , , , , , , ,23418.378,24828,19168.05,25,-14321.98,39,-20334.622,168,-82.95,15,20002.28,168,5507.302,1536,16039841.92,26375,37112.510,24569,
5,12,B,,,0.0,0.0,(3/2-), ,5.08,5,MS,0.00508,5.0E-5,B-,100.0,0.0,B-N,63.0,1.0,B-2N,11.0,7.0, , , , , ,22684.419,204841,21950.87,204,-15689.49,216,,,1467.51,206,21019.79,263,5269.667,12006,17046931.399,219114,43716.317,204104,
5,13,B,,,0.0,0.0,(2-), , , , , , ,N,100.0,0.0, , , , , , , , , , , ,26873.37,206357,22689.42,205,,,,,-5.00,5,,,4976.63,11342,18055601.682,219180,51792.634,204165,
6,2,C,,,0.0,0.0,0+, ,230,50,KEV,2.0E-21,4.0E-22,P,100.0,0.0,A,-1.0,0.0, , , ,= 2, , , , ,,,,,,,12142.701,18,,,-98.75,31,3101.524,2280,8037643.042,19584,35064.268,18243,
6,3,C,,,0.0,0.0,(3/2-), ,126.5,9,MS,0.1265,9.0E-4,EC+B+,100.0,0.0,B+P,61.6,0.0,B+A,38.4,0.0,= 3/2,-1.3914, , , ,,,,,-10653,2003,16494.484,231,14224.61,18,1299.57,236,4337.423,237,9031037.207,2293,28910.972,2137,
6,4,C,,,0.0,0.0,0+, ,19.290,12,S,19.29,0.012,EC+B+,100.0,0.0, , , , , , ,= 1, , , , ,-23101.355,400000,,,-5101.28,5,3648.063,72,21283.62,214,4006.79,91,6032.042,7,10016853.218,75,15698.672,70,
6,5,C,,,0.0,0.0,3/2-, ,20.364,14,M,1221.84,0.84,EC+B+,100.0,0.0, , , , , , ,= 1/2,-0.964, ,0.03426, ,-13654.163,46154,-36221.95,400,-7544.52,9,1981.689,61,13120.59,9,8690.18,6,6676.456,5,11011432.597,64,10649.396,60,
6,6,C,2.4702,22,0.0,0.0,0+, ,STABLE, , , , , , , , , , , , , ,= 0, , , , ,-17338.068,1000,-32374.88,46,-7366.59,4,-13369.397,1321,18720.71,6,15956.68,1,7680.144,0,12000000,0,0.0,0,
6,7,C,2.4614,34,0.0,0.0,1/2-, ,STABLE, , , , , , , , , , , , , ,= 1/2,0.7024118, , , ,-2220.472,270,-22284.38,100,-10648.36,8,-13436.938,10,4946.31,0,17533.36,132,7469.849,0,13003354.83521,23,3125.00888,21,
6,8,C,2.5025,87,0.0,0.0,0+, ,5700,30,Y,1.7987832E11,9.46728E8,B-,100.0,0.0, , , , , , ,= 1, , , , ,156.476,4,-10396.91,27,-12012.51,8,-20643.792,21,8176.43,0,20831.02,100,7520.319,0,14003241.98843,403,3019.89278,376,
6,9,C,,,0.0,0.0,1/2+, ,2.449,5,S,2.449,0.005,B-,100.0,0.0, , , , , , ,= 3/2,1.32, , , ,9771.705,800,-1061.59,80,-12728.94,83,-19085.098,21,1218.07,80,21079.51,21,7100.169,53,15010599.256,858,9873.144,800,
6,10,C,,,0.0,0.0,0+, ,0.747,8,S,0.747,0.008,B-,100.0,0.0,B-N,99.0,0.3, , , ,= 2, , , , ,8010.225,4254,5521.38,4,-13808.54,4,-23418.378,25,4250.33,4,22553.08,21,6922.054,224,16014701.256,3840,13694.132,3578,
6,11,C,,,0.0,0.0, , ,193,13,MS,0.193,0.013,B-,100.0,0.0,B-N,32.0,3.0, , , , , , , , ,13161.82,22946,7276.67,18,-15052.09,20,-22684.419,205,733.55,18,23369.58,30,6558.024,1020,17022578.672,18641,21031.898,17365,
6,12,C,,,0.0,0.0,(0+), ,92,2,MS,0.092,0.002,B-,100.0,0.0,B-N,31.5,1.5, , , ,= 3, , , , ,11806.096,35282,8977.87,34,-17460.15,136,-26873.37,206,4183.95,35,26086.02,206,6426.131,1667,18026751.932,32206,24919.264,30000,
6,14,C,,,0.0,0.0, , ,14,+6-5,MS,0.014,0.006,B-,100.0,0.0,B-N,72.0,14.0, , , , , , , , ,15737.067,243746,13575.96,231,-22368.49,284,,,2981.51,251,29555.65,574,5961.435,11531,20040261.732,247585,37503.563,230625,
6,16,C,,,0.0,0.0,0+, ,6.1,+14-12,MS,0.0061,0.0013,B-,100.0,0.0,B-N,61.0,0.0,B-2N,37.0,0.0, , , , , ,21846.396,311063,20307.97,268,,,,,103,640,31008,929,5421.077,10522,22057553.99,248515,53611.197,231490,
7,3,N,,,0.0,0.0, , , , , , , ,P,100.0,0.0, , , , , , , , , , , ,,,,,-10945,2042,23101.354,400,,,-2600.08,400,3643.672,40000,10041653.543,429417,38800.026,400000,
7,4,N,,,0.0,0.0,1/2+, ,830,30,KEV,5.0E-22,0.0,P,100.0,0.0, , , , , , ,= 3/2, , , , ,,,,,-5797.91,53,13654.163,46,22567.78,403,-1315.92,46,5364.046,4196,11026090.945,49548,24303.559,46154,
7,5,N,,,0.0,0.0,1+, ,11.000,16,MS,0.011,1.6E-5,EC+B+,100.0,0.0, , , , , , ,= 1,0.4573, ,0.026, ,-14576.544,24021,,,-8008.41,141,17338.068,10,15036.81,46,600.30,100,6170.109,83,12018613.182,1073,17338.068,1000,
7,6,N,,,0.0,0.0,1/2-, ,9.965,4,M,597.9,0.24,EC+B+,100.0,0.0, , , , , , ,= 1/2,0.3222, , , ,-17769.951,9530,-34640.45,24,-9495.92,94,2220.472,27,20063.90,104,1943.49,27,7238.863,21,13005738.609,289,5345.481,270,
7,7,N,2.5582,70,0.0,0.0,1+, ,STABLE, , , , , , , , , , , , , ,= 0,0.403761, ,0.0193, ,-5144.364,25,-28323.33,10,-11612.11,1,-156.476,4,10553.38,27,7550.56,0,7475.614,0,14003074.00446,21,2863.41672,19,
7,8,N,2.6058,80,0.0,0.0,1/2-, ,STABLE, , , , , , , , , , , , , ,= 1/2,-0.28318884, , , ,-2754.166,491,-15977.66,3,-10991.18,1,-9771.705,8,10833.30,0,10207.42,0,7699.46,0,15000108.89894,65,101.43871,59,
7,9,N,,,0.0,0.0,2-, ,7.13,2,S,7.13,0.02,B-,100.0,0.0,B-A,0.0012,5.0E-4, , , ,= 1, , , , ,10420.908,2301,-5243.02,235,-10110.41,265,-8010.225,4,2488.85,229,11478.21,244,7373.796,144,16006101.925,2470,5683.907,2301,
7,10,N,,,0.0,0.0,1/2-, ,4.173,4,S,4.173,0.004,B-,100.0,0.0,B-N,95.1,0.7,B-A,0.0025, ,= 3/2, , , , ,8678.842,15000,4535.76,15,-11116.78,15,-13161.819,23,5885.15,15,13113.02,15,7286.229,882,17008448.877,16103,7870.079,15000,
7,11,N,,,0.0,0.0,1-, ,624,12,MS,0.624,0.012,B-,100.0,0.0,B-N,14.3,2.0,B-A,12.2,0.6,= 2, , , , ,13895.984,18570,5850.61,19,-12975.43,28,-11806.096,35,2828.23,24,15207.70,25,7038.562,1032,18014077.565,19935,13113.168,18570,
7,12,N,,,0.0,0.0, , ,271,8,MS,0.271,0.008,B-,100.0,0.0,B-N,54.6,1.4, , , , , , , , ,12523.424,16614,8567.78,16,-15526.88,27,-16557.47,100,5328.20,25,16351.95,34,6948.543,863,19017022.419,17610,15856.282,16404,
7,13,N,,,0.0,0.0, , ,130,7,MS,0.13,0.007,B-,100.0,0.0,B-N,57.0,3.0, , , , , , , , ,17970.324,78899,10362.32,79,-17770.93,83,-15737.067,244,2161.10,81,17936.23,126,6709.171,3945,20023367.295,84696,21766.496,78894,
7,14,N,,,0.0,0.0,(1/2-), ,84,7,MS,0.084,0.007,B-,100.0,0.0,B-N,86.0,4.0, , , , , , , , ,17169.878,134584,13364.42,134,-20909.32,244,-20411.087,611,4605.90,156,19560.62,267,6609.015,6383,21027087.573,143906,25231.913,134048,
7,15,N,,,0.0,0.0,(0-), ,23,3,MS,0.023,0.003,B-,100.0,0.0,B-N,34.0,3.0,B-2N,12.0,3.0, , , , , ,22481.768,215435,15631.45,208,-22452.75,291,-21846.396,311,1538.43,247,21167,631,6378.534,9445,22034100.918,223060,31764.801,207779,
7,16,N,,,0.0,0.0, , ,14.1,15,MS,0.0141,0.0015,B-,100.0,0.0,B-N,42.0,6.0,B-2N,8.0,4.0, , , , , ,22099.056,437827,19366.07,424,-25474.73,673,,,3115.69,469,24179.74,480,6236.671,18286,23039421,451500,36720.425,420570,
7,17,N,,,0.0,0.0, ,LT,52, ,NS,5.2E-8,0.0,N,-1.0,0.0, , , , , , , , , , , ,28438,433,24245,419,-23937,895,,,-2146,581,24522,1074,5887,17,24050390,430,46938,401,
8,4,O,,,0.0,0.0,0+, ,0.40,25,MEV,1.1393E-21,7.12031E-22,P,-1.0,0.0, , , , , , ,= 2, , , , ,,,,,-5574.57,30,14576.545,24,,,-322.08,52,4890.202,2000,12034261.747,25765,31914.613,24000,
8,5,O,,,0.0,0.0,(3/2-), ,8.58,5,MS,0.00858,5.0E-5,B+P,100.0,0.0,EC+B+,100.0,0.0, , , ,= 3/2, , , , ,,,,,-8220.46,10,17769.951,10,16870.50,26,1511.61,10,5811.763,733,13024815.437,10226,23115.432,9526,
8,6,O,,,0.0,0.0,0+, ,70.606,18,S,70.606,0.018,EC+B+,100.0,0.0, , , , , , ,= 1, , , , ,-23956.622,41119,,,-10115.81,7,5144.364,25,23178.97,10,4626.67,27,7052.278,2,14008596.706,27,8007.781,25,
8,7,O,,,0.0,0.0,1/2-, ,122.24,16,S,122.24,0.16,EC+B+,100.0,0.0, , , , , , ,= 1/2,0.7189, , , ,-13711.146,14009,-37180.11,41,-10218.71,49,2754.166,491,13223.49,49,7296.78,49,7463.692,33,15003065.618,526,2855.605,491,
8,8,O,2.6991,52,0.0,0.0,0+, ,STABLE, , , , , , , , , , , , , ,= 0, , , , ,-15417.254,8321,-29375.07,14,-7161.92,0,-10420.908,2301,15663.92,49,12127.41,0,7976.206,0,15994914.6196,17,-4737.00135,16,
8,9,O,2.6932,75,0.0,0.0,5/2+, ,STABLE, , , , , , , , , , , , , ,= 1/2,-1.89379, , , ,-2760.465,248,-19560.33,8,-6358.69,0,-8678.842,15,4143.08,0,13781.64,229,7750.728,0,16999131.75664,70,-808.76348,66,
8,10,O,2.7726,56,0.0,0.0,0+, ,STABLE, , , , , , , , , , , , , ,= 1, , , , ,-1655.929,463,-10805.83,25,-6227.62,0,-13895.984,19,8045.37,0,15941.86,15,7767.097,0,17999159.61284,76,-782.81560,71,
8,11,O,,,0.0,0.0,5/2+, ,26.88,5,S,26.88,0.05,B-,100.0,0.0, , , , , , ,= 3/2, , , , ,4820.302,2637,-5611.57,268,-8965.2,276,-12523.424,17,3955.64,264,17069.28,19,7566.495,139,19003577.97,2830,3332.858,2637,
8,12,O,,,0.0,0.0,0+, ,13.51,5,S,13.51,0.05,B-,100.0,0.0, , , , , , ,= 2, , , , ,3813.635,885,-2787.70,88,-12322.88,4,-17970.324,79,7608.00,278,19349.08,16,7568.57,44,20004075.358,950,3796.172,885,
8,13,O,,,0.0,0.0,(5/2+), ,3.42,10,S,3.42,0.1,B-,100.0,0.0, , , , , , , , , , , ,8109.64,12134,8.18,12,-15394.78,21,-17169.878,135,3805.45,12,20993.43,80,7389.374,571,21008654.95,12882,8062.035,12000,
8,14,O,,,0.0,0.0,0+, ,2.25,9,S,2.25,0.09,B-,100.0,0.0,B-N,22.0,0.0, , , , , , , , ,6489.66,58256,1259.32,57,-18061.15,64,-22481.768,215,6850.32,58,23237.85,146,7364.871,2587,22009965.746,61107,9283.033,56921,
8,15,O,,,0.0,0.0,1/2+, ,82,+45-28,MS,0.082,0.037,B-,100.0,0.0,B-N,31.0,7.0, , , , , , , , ,11336.106,126190,3756.68,122,-20217.3,157,-22099.056,438,2732.98,134,24432.40,241,7163.485,5292,23015696.686,130663,14621.369,121712,
8,16,O,,,0.0,0.0,0+, ,65,5,MS,0.065,0.005,B-,100.0,0.0,B-N,58.0,12.0, , , , , , , , ,10955.887,191633,7143.82,168,-21428.08,284,-28437.598,434,4192.28,205,25508.99,452,7039.685,6870,24019861,177000,18500.402,164874,
8,18,O,,,0.0,0.0,0+, ,4.5,+32-34,PS,4.5E-12,3.3E-12,2N,100.0, , , , , , , , , , , , ,16012.161,198932,15255.55,191,-21375.08,284,,,739.31,10,28611,529,6497.478,6344,26037210.155,177081,34661.037,164950,
9,5,F,,,0.0,0.0,2-, ,910,100,KEV,5.0E-22,1.0E-22, , , , , , , , , , , , , , ,,,,,-9260.54,402,23956.621,41,,,-1560.00,40,5285.208,2937,14034315.199,44142,31964.402,41119,
9,6,F,,,0.0,0.0,(1/2+), ,1.0,2,MEV,4.557E-22,9.114E-23,P,100.0,0.0, , , , , , ,= 3/2, , , , ,-23648.622,68138,,,-10161.72,48,13711.146,14,23468.97,43,-1270.00,14,6497.459,933,15017785.139,15029,16566.751,14000,
9,7,F,,,0.0,0.0,0-, ,40,20,KEV,1.14E-20,5.7E-21,P,100.0,0.0, , , , , , ,= 1, , , , ,-13306.523,22106,-37606.44,67,-9082.73,8,15417.254,8,13957.82,16,-535.68,8,6963.731,520,16011465.723,8932,10680.253,8321,
9,8,F,,,0.0,0.0,5/2+, ,64.49,16,S,64.49,0.16,EC+B+,100.0,0.0, , , , , , ,= 1/2,4.7223, , , ,-14548.746,432,-30106.39,20,-5818.69,37,2760.465,248,16799.87,8,600.27,25,7542.328,15,17002095.238,266,1951.702,248,
9,9,F,,,0.0,0.0,1+, ,109.77,5,M,6586.2,3.0,EC+B+,100.0,0.0, , , , , , ,= 0, , , , ,-4444.501,589,-23698.65,57,-4415.22,46,1655.929,463,9149.91,53,5607.09,46,7631.638,26,18000937.325,497,873.113,463,
9,10,F,2.8976,25,0.0,0.0,1/2+, ,STABLE, , , , , , , , , , , , , ,= 1/2, , , , ,-3239.494,160,-14876.38,36,-4013.8,0,-4820.302,2637,10431.87,46,7993.60,0,7779.018,0,18998403.16288,93,-1487.44420,86,
9,11,F,,,0.0,0.0,2+, ,11.07,6,S,11.07,0.06,B-,100.0,0.0, , , , , , ,= 1,2.0935, ,-0.042, ,7024.467,30,-9840.83,16,-8126.29,229,-3813.635,886,6601.34,3,10639.29,264,7720.134,2,19999981.252,31,-17.463,30,
9,12,F,,,0.0,0.0,5/2+, ,4.158,20,S,4.158,0.02,B-,100.0,0.0, , , , , , , ,3.93, ,0.11, ,5684.171,1800,-1076.99,180,-10342.6,15,-8109.64,12,8101.46,180,11132.75,200,7738.293,86,20999948.894,1932,-47.605,1800,
9,13,F,,,0.0,0.0,(4+), ,4.23,4,S,4.23,0.04,B-,100.0,0.0,B-N,11.0,0.0, , , , ,2.6944, ,0.003, ,10818.092,12399,453.83,12,-12744.71,22,-6489.66,58,5230.34,13,12557.63,17,7624.295,564,22002998.809,13310,2793.373,12399,
9,14,F,,,0.0,0.0,5/2+, ,2.23,14,S,2.23,0.14,B-,100.0,0.0, , , , , , , , , , , ,8439.312,33321,3238.66,33,-14995.93,37,-11336.106,126,7579.43,36,13286.74,66,7622.344,1449,23003526.874,35770,3285.263,33320,
9,15,F,,,0.0,0.0,(3+), ,390,70,MS,0.39,0.07,B-,100.0,0.0,B-N,5.9,0.0, , , , , , , , ,13496.161,97672,4627.25,98,-16646.9,126,-10955.887,192,3812.06,103,14365.82,156,7463.582,4070,24008099.37,104853,7544.515,97670,
9,16,F,,,0.0,0.0,5/2+, ,80,9,MS,0.08,0.009,B-,100.0,0.0,B-N,23.1,4.5, , , , , , , , ,13369.667,100721,9214.49,96,-16322.66,165,-15994.861,191,4281.67,137,14455.21,191,7336.306,3858,25012167.727,103535,11334.166,96442,
9,17,F,,,0.0,0.0,1+, ,8.2,9,MS,0.0082,9.0E-4,B-,100.0,0.0,B-N,13.5,4.0, , , , , , , , ,18167.762,112716,12613.06,115,-15540.84,236,-16012.162,199,756.61,147,15969.12,199,7083.24,4277,26020020.392,119377,18648.875,111199,
